IL_SMILES,Temperature(K),Pressure(mPa),xCO2(mole fraction)
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,303.65,21.5,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.35,25.7,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324.15,31.2,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.85,36.0,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.65,41.1,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,353.25,46.6,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,363.15,52.5,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,302.85,36.0,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.35,44.7,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324.15,54.6,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,334.05,64.8,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.55,75.1,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,353.25,85.9,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,363.05,97.7,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,302.95,46.7,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.35,57.7,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324.15,71.1,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.85,84.5,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.85,99.8,0.626
